livePlace,totalLoanAmount,totalLoanNum,rate,financeAmount,houseNum,occupation,brandModel,due,totalReturnNum,toBeReturnAmoun,carNum,occupationYear,overdueReturnNum,carBuyDate,overdueReturnAmount,age,carEstimatePrice,personalIncome
未填,2000.00,1,24.00,2000.00,1,-9,-9,15,1,0.00,0,-9,0,-9,0,30,-9,-9
广东省 广州,1040000.00,13,22.00,80000.00,-9,广州**建筑公司,现代,90,12,81333.33,1,119828342000,0,1291132800000,0,40,80000.0,-9
江西省 赣州,120000.00,1,22.00,120000.00,1,广州**广告有限公司,丰田锐志,30,1,0.00,1,-9,0,1291132800000,0,31,160000.0,70000.0
广东省 广州,40000.00,1,22.00,40000.00,-9,广州**文化策划有限公司,-9,30,1,0.00,1,104279167000,0,-9,0,26,-9,-9
广东省 佛山,200000.00,1,22.00,200000.00,1,佛山市**材料科技有限公司,-9,30,1,0.00,1,141149111000,0,-9,0,38,-9,100000.0
湖南省 衡阳,120000.00,1,22.00,120000.00,-9,****家居厂,-9,120,1,0.00,1,188496330000,0,-9,0,39,-9,50000.0
江苏省 泰州,57000.00,1,22.00,57000.00,1,**制衣厂,福特斯,30,1,0.00,1,-9,0,1354291200000,0,39,70000.0,40000.0
广东省 广州,40000.00,1,22.00,40000.00,1,广州**商贸有限公司,荣威,30,1,0.00,1,17246343000,0,1291132800000,0,42,45000.0,-9
广东省 广州,120000.00,2,22.00,60000.00,1,**进出口有限公司,东风日产,30,2,0.00,1,156524930000,0,1322668800000,0,44,100000.0,-9
广东省 清远,50000.00,1,22.00,50000.00,1,佛山市**美容美发,福克斯,30,1,0.00,1,201392821000,0,1259596800000,0,42,50000.0,-9
广东省 佛山,50000.00,1,22.00,50000.00,1,**鞋店,颐达,30,1,0.00,1,138236953000,0,1259596800000,0,28,50000.0,-9
河北 邯郸,40000.00,1,22.00,40000.00,1,河北**承轴厂驻广办事处,力帆,30,1,0.00,1,101431528000,0,1291132800000,0,31,40000.0,-9
广东省 佛山,386000.00,7,22.00,60000.00,1,佛山**国有股份公司,奔驰精灵,30,7,0.00,1,196127002000,0,1322668800000,0,30,60000.0,-9
