projectId,status,updateTime,financeAmount,due,loanPurpose,returnWay,returnFrom
10000010000000001,9,2015-05-05 18:06:43,2460000.0,1,0,5,3
10000010000000002,10,2015-03-31 18:06:43,3940000.0,19,0,3,1
10000010000000003,10,2015-04-10 18:06:43,5180000.0,19,0,6,3
10000010000000004,9,2015-03-24 18:06:43,1120000.0,12,1,2,1
10000010000000005,10,2015-05-04 18:06:43,3230000.0,8,1,1,2
10000010000000006,9,2015-03-26 18:06:43,5470000.0,6,1,0,0
10000010000000007,9,2015-05-12 18:06:43,3450000.0,12,1,6,3
10000010000000008,9,2015-03-20 18:06:43,5120000.0,16,0,6,0
10000010000000009,9,2015-06-03 18:06:43,2170000.0,11,1,3,2
10000010000000010,9,2015-05-08 18:06:43,610000.0,10,1,3,3
10000010000000011,9,2015-04-18 18:06:43,1940000.0,21,1,3,2
10000010000000012,10,2015-05-22 18:06:43,1170000.0,14,0,0,1
10000010000000013,9,2015-03-22 18:06:43,540000.0,23,0,5,3
10000010000000014,10,2015-06-09 18:06:43,3040000.0,17,0,1,1
10000010000000015,9,2015-06-02 18:06:43,1670000.0,7,1,4,2
10000010000000016,9,2015-05-31 18:06:43,2910000.0,16,1,2,3
10000010000000017,10,2015-05-30 18:06:43,3710000.0,15,1,5,3
10000010000000018,9,2015-03-30 18:06:43,2940000.0,2,0,4,0
10000010000000019,10,2015-06-09 18:06:43,4570000.0,5,1,6,3
10000010000000020,10,2015-06-07 18:06:43,5320000.0,2,0,1,1
10000010000000021,9,2015-05-23 18:06:43,4580000.0,2,0,2,2
10000010000000022,9,2015-05-03 18:06:43,4320000.0,5,1,0,2
10000010000000023,10,2015-04-11 18:06:43,1880000.0,14,0,5,1
10000010000000024,10,2015-04-18 18:06:43,620000.0,16,0,3,1
10000010000000025,10,2015-06-04 18:06:43,5300000.0,23,1,1,2
10000010000000026,10,2015-04-18 18:06:43,580000.0,6,1,0,1
10000010000000027,9,2015-03-16 18:06:43,570000.0,2,1,4,2
10000010000000028,10,2015-04-07 18:06:43,1490000.0,24,1,2,1
10000010000000029,9,2015-03-22 18:06:43,3620000.0,23,1,6,2
10000010000000030,10,2015-04-04 18:06:43,2710000.0,7,1,0,0
10000010000000031,9,2015-04-22 18:06:43,3260000.0,10,0,2,2
10000010000000032,10,2015-05-17 18:06:43,4780000.0,7,1,1,2
10000010000000033,9,2015-04-09 18:06:43,630000.0,4,0,6,3
10000010000000034,9,2015-04-06 18:06:43,4720000.0,2,0,3,1
10000010000000035,10,2015-05-01 18:06:43,2150000.0,11,1,6,0
10000010000000036,10,2015-05-07 18:06:43,5420000.0,0,1,2,2
10000010000000037,10,2015-05-29 18:06:43,3400000.0,24,0,6,1
10000010000000038,10,2015-05-26 18:06:43,690000.0,10,0,2,2
10000010000000039,9,2015-04-03 18:06:43,2690000.0,8,1,1,2
10000010000000040,9,2015-03-18 18:06:43,1690000.0,5,1,1,0
10000010000000041,10,2015-03-18 18:06:43,3370000.0,10,0,3,0
10000010000000042,10,2015-05-28 18:06:43,780000.0,13,1,1,0
10000010000000043,10,2015-03-16 18:06:43,5500000.0,3,1,1,1
10000010000000044,10,2015-06-08 18:06:43,5490000.0,5,0,5,3
10000010000000045,9,2015-05-08 18:06:43,2970000.0,6,1,2,3
10000010000000046,9,2015-03-19 18:06:43,5200000.0,23,0,4,0
10000010000000047,10,2015-03-25 18:06:43,860000.0,13,1,6,3
10000010000000048,10,2015-05-31 18:06:43,2420000.0,7,0,6,0
10000010000000049,10,2015-03-13 18:06:43,3110000.0,17,0,1,2
10000010000000050,9,2015-03-15 18:06:43,4400000.0,22,0,5,0
10000010000000051,9,2015-05-24 18:06:43,2850000.0,16,0,5,2
10000010000000052,10,2015-04-16 18:06:43,4330000.0,4,1,1,2
10000010000000053,10,2015-06-06 18:06:43,3180000.0,15,0,5,1
10000010000000054,10,2015-03-23 18:06:43,4850000.0,13,1,3,2
10000010000000055,10,2015-03-24 18:06:43,4030000.0,8,0,3,0
10000010000000056,9,2015-04-05 18:06:43,1400000.0,14,1,0,2
10000010000000057,9,2015-04-13 18:06:43,3910000.0,21,1,3,2
10000010000000058,9,2015-04-07 18:06:43,850000.0,8,1,2,2
10000010000000059,9,2015-05-26 18:06:43,2550000.0,5,1,3,0
10000010000000060,9,2015-03-28 18:06:43,3180000.0,17,0,5,3
10000010000000061,9,2015-05-01 18:06:43,2330000.0,20,0,6,0
10000010000000062,10,2015-05-14 18:06:43,4610000.0,11,1,3,2
10000010000000063,10,2015-05-11 18:06:43,5280000.0,4,0,5,1
10000010000000064,9,2015-05-07 18:06:43,2400000.0,18,1,6,3
10000010000000065,10,2015-03-26 18:06:43,1810000.0,11,0,6,1
10000010000000066,10,2015-05-11 18:06:43,680000.0,10,1,3,1
10000010000000067,9,2015-04-14 18:06:43,3890000.0,18,0,3,1
10000010000000068,10,2015-05-08 18:06:43,3060000.0,14,1,5,1
10000010000000069,9,2015-03-25 18:06:43,2330000.0,12,0,0,0
10000010000000070,10,2015-05-19 18:06:43,3690000.0,5,0,0,3
10000010000000071,10,2015-03-25 18:06:43,1340000.0,19,0,0,2
10000010000000072,10,2015-05-13 18:06:43,1220000.0,23,0,4,3
10000010000000073,9,2015-03-18 18:06:43,3050000.0,16,0,5,3
10000010000000074,10,2015-04-26 18:06:43,1030000.0,10,1,3,3
10000010000000075,10,2015-05-30 18:06:43,1240000.0,5,1,6,1
10000010000000076,10,2015-04-12 18:06:43,3120000.0,10,1,3,1
10000010000000077,10,2015-06-08 18:06:43,1500000.0,5,0,0,3
10000010000000078,9,2015-03-31 18:06:43,3190000.0,24,1,1,0
10000010000000079,9,2015-04-24 18:06:43,1150000.0,5,0,0,2
10000010000000080,9,2015-04-23 18:06:43,1960000.0,14,0,5,0
10000010000000081,9,2015-05-30 18:06:43,5010000.0,5,0,5,3
10000010000000082,9,2015-04-05 18:06:43,3230000.0,18,1,0,3
10000010000000083,9,2015-05-03 18:06:43,5100000.0,0,0,6,2
10000010000000084,9,2015-04-27 18:06:43,3060000.0,3,0,5,2
10000010000000085,10,2015-03-23 18:06:43,2830000.0,9,0,6,2
10000010000000086,9,2015-05-09 18:06:43,4650000.0,11,1,5,2
10000010000000087,9,2015-04-23 18:06:43,1900000.0,5,0,0,1
10000010000000088,10,2015-04-12 18:06:43,3960000.0,2,0,5,1
10000010000000089,9,2015-03-24 18:06:43,3870000.0,7,0,1,2
10000010000000090,10,2015-05-19 18:06:43,5040000.0,10,1,1,3
10000010000000091,10,2015-04-02 18:06:44,4490000.0,6,1,3,2
10000010000000092,9,2015-04-16 18:06:44,5500000.0,13,1,5,3
10000010000000093,9,2015-03-19 18:06:44,2900000.0,15,1,1,0
10000010000000094,9,2015-04-05 18:06:44,2660000.0,8,1,4,2
10000010000000095,10,2015-04-15 18:06:44,3610000.0,9,1,3,2
10000010000000096,10,2015-05-08 18:06:44,2550000.0,13,1,1,1
10000010000000097,10,2015-03-19 18:06:44,1040000.0,20,1,4,3
10000010000000098,9,2015-05-15 18:06:44,2690000.0,22,0,0,2
10000010000000099,9,2015-06-05 18:06:44,2850000.0,21,1,6,1
10000010000000100,10,2015-05-01 18:06:44,3190000.0,10,1,6,3
10000010000000101,9,2015-04-04 18:06:44,1400000.0,8,0,5,1
10000010000000102,9,2015-03-18 18:06:44,3170000.0,1,1,4,2
10000010000000103,10,2015-05-03 18:06:44,1030000.0,14,1,0,1
10000010000000104,9,2015-05-20 18:06:44,2840000.0,17,1,0,1
10000010000000105,10,2015-05-28 18:06:44,5470000.0,10,0,1,0
10000010000000106,9,2015-03-16 18:06:44,4830000.0,23,0,5,1
10000010000000107,10,2015-03-29 18:06:44,4430000.0,7,1,2,3
10000010000000108,9,2015-03-29 18:06:44,2290000.0,1,1,6,0
10000010000000109,9,2015-04-19 18:06:44,970000.0,9,1,2,1
10000010000000110,10,2015-05-30 18:06:44,3350000.0,20,1,3,1
10000010000000111,9,2015-06-07 18:06:44,2970000.0,15,1,4,3
10000010000000112,10,2015-05-01 18:06:44,3130000.0,17,1,4,1
10000010000000113,10,2015-03-31 18:06:44,5430000.0,18,0,0,0
10000010000000114,10,2015-03-26 18:06:44,4810000.0,8,0,4,0
10000010000000115,9,2015-05-01 18:06:44,4880000.0,5,1,0,0
10000010000000116,9,2015-06-08 18:06:44,520000.0,12,0,6,3
10000010000000117,9,2015-05-25 18:06:44,990000.0,17,0,5,1
10000010000000118,9,2015-04-22 18:06:44,1710000.0,10,1,1,1
10000010000000119,9,2015-04-19 18:06:44,5200000.0,12,0,6,2
10000010000000120,10,2015-04-24 18:06:44,4570000.0,19,1,2,0
10000010000000121,10,2015-05-07 18:06:44,5000000.0,23,0,0,2
10000010000000122,9,2015-06-07 18:06:44,2520000.0,19,0,1,3
10000010000000123,9,2015-03-31 18:06:44,3810000.0,20,0,5,2
10000010000000124,10,2015-03-24 18:06:44,1660000.0,6,0,3,1
10000010000000125,9,2015-04-17 18:06:44,2290000.0,6,1,3,2
10000010000000126,9,2015-04-03 18:06:44,2490000.0,3,0,2,2
10000010000000127,10,2015-05-24 18:06:44,4270000.0,4,0,1,2
10000010000000128,10,2015-06-09 18:06:44,4450000.0,8,0,5,1
10000010000000129,10,2015-04-16 18:06:44,1140000.0,7,0,6,2
10000010000000130,10,2015-03-29 18:06:44,2120000.0,9,0,5,0
10000010000000131,9,2015-03-13 18:06:44,4270000.0,0,1,6,2
10000010000000132,9,2015-05-31 18:06:44,2640000.0,19,1,5,1
10000010000000133,9,2015-03-15 18:06:44,2860000.0,0,0,1,1
10000010000000134,10,2015-03-16 18:06:44,2690000.0,5,1,5,1
10000010000000135,10,2015-03-31 18:06:44,1120000.0,4,0,3,1
10000010000000136,10,2015-03-21 18:06:44,3050000.0,17,1,0,2
10000010000000137,9,2015-04-02 18:06:44,3660000.0,1,0,0,1
10000010000000138,9,2015-05-11 18:06:44,1040000.0,11,1,6,2
10000010000000139,10,2015-03-23 18:06:44,3800000.0,18,1,2,3
10000010000000140,9,2015-05-29 18:06:44,1910000.0,4,1,1,1
10000010000000141,10,2015-04-28 18:06:44,4490000.0,19,1,3,3
10000010000000142,9,2015-03-23 18:06:44,4780000.0,19,1,2,2
10000010000000143,10,2015-04-15 18:06:44,1590000.0,23,0,5,2
