projectId,status,updateTime,totalLoanNum,totalLoanAmount,totalReturnNum,totalReturnAmount,toBeReturnNum,toBeReturnNum,overdueReturnNum,overdueReturnAmount
10000010000000001,9,2015-05-05 18:06:43,1,1960001.0,1,612240.0,0,1347761.0,0,282750.0
10000010000000002,10,2015-03-31 18:06:43,1,1540001.0,1,1280986.0,0,259015.0,0,211795.0
10000010000000003,10,2015-04-10 18:06:43,6,4170001.0,3,29779.0,3,4140222.0,2,2058046.0
10000010000000004,9,2015-03-24 18:06:43,1,3760001.0,1,2867688.0,0,892313.0,0,549277.0
10000010000000005,10,2015-05-04 18:06:43,8,3900001.0,8,3612259.0,0,287742.0,0,1761208.0
10000010000000006,9,2015-03-26 18:06:43,1,4240001.0,1,1530493.0,0,2709508.0,0,3704493.0
10000010000000007,9,2015-05-12 18:06:43,10,3060001.0,1,2993272.0,9,66729.0,0,457036.0
10000010000000008,9,2015-03-20 18:06:43,6,2580001.0,3,1668415.0,3,911586.0,0,1768439.0
10000010000000009,9,2015-06-03 18:06:43,9,630001.0,6,440361.0,3,189640.0,2,40745.0
10000010000000010,9,2015-05-08 18:06:43,9,4110001.0,3,2992974.0,6,1117027.0,2,2581439.0
10000010000000011,9,2015-04-18 18:06:43,8,1110001.0,1,931928.0,7,178073.0,0,552545.0
10000010000000012,10,2015-05-22 18:06:43,9,450001.0,6,393191.0,3,56810.0,3,395626.0
10000010000000013,9,2015-03-22 18:06:43,5,2830001.0,2,1352553.0,3,1477448.0,1,452006.0
10000010000000014,10,2015-06-09 18:06:43,4,2740001.0,3,928495.0,1,1811506.0,2,1617160.0
10000010000000015,9,2015-06-02 18:06:43,8,2250001.0,5,358203.0,3,1891798.0,0,1833542.0
10000010000000016,9,2015-05-31 18:06:43,1,40001.0,1,17613.0,0,22388.0,0,27126.0
10000010000000017,10,2015-05-30 18:06:43,4,3350001.0,2,1707521.0,2,1642480.0,1,3058496.0
10000010000000018,9,2015-03-30 18:06:43,4,900001.0,3,263236.0,1,636765.0,0,668301.0
10000010000000019,10,2015-06-09 18:06:43,4,4640001.0,1,2824012.0,3,1815989.0,0,1740001.0
10000010000000020,10,2015-06-07 18:06:43,10,4370001.0,8,64209.0,2,4305792.0,1,3800212.0
10000010000000021,9,2015-05-23 18:06:43,8,4490001.0,3,3887362.0,5,602639.0,1,1963758.0
10000010000000022,9,2015-05-03 18:06:43,7,4180001.0,2,4179845.0,5,156.0,0,2191704.0
10000010000000023,10,2015-04-11 18:06:43,6,4700001.0,1,1464514.0,5,3235487.0,0,278267.0
10000010000000024,10,2015-04-18 18:06:43,10,190001.0,5,99748.0,5,90253.0,3,156141.0
10000010000000025,10,2015-06-04 18:06:43,10,2560001.0,9,956963.0,1,1603038.0,4,566455.0
10000010000000026,10,2015-04-18 18:06:43,5,3190001.0,5,1480153.0,0,1709848.0,4,227375.0
10000010000000027,9,2015-03-16 18:06:43,7,2390001.0,3,1385645.0,4,1004356.0,2,1029535.0
10000010000000028,10,2015-04-07 18:06:43,9,1690001.0,4,600479.0,5,1089522.0,1,294991.0
10000010000000029,9,2015-03-22 18:06:43,5,1140001.0,5,1114509.0,0,25492.0,3,493794.0
10000010000000030,10,2015-04-04 18:06:43,10,3420001.0,7,1675227.0,3,1744774.0,0,1245433.0
10000010000000031,9,2015-04-22 18:06:43,1,640001.0,1,185267.0,0,454734.0,0,514246.0
10000010000000032,10,2015-05-17 18:06:43,7,3380001.0,6,138130.0,1,3241871.0,5,1725600.0
10000010000000033,9,2015-04-09 18:06:43,5,3250001.0,5,1310994.0,0,1939007.0,2,611569.0
10000010000000034,9,2015-04-06 18:06:43,7,4450001.0,7,3073069.0,0,1376932.0,0,4396841.0
10000010000000035,10,2015-05-01 18:06:43,1,2150001.0,1,157789.0,0,1992212.0,0,1073506.0
10000010000000036,10,2015-05-07 18:06:43,10,3180001.0,3,1291121.0,7,1888880.0,1,317347.0
10000010000000037,10,2015-05-29 18:06:43,8,3100001.0,5,74613.0,3,3025388.0,3,2847690.0
10000010000000038,10,2015-05-26 18:06:43,8,480001.0,2,36333.0,6,443668.0,1,55963.0
10000010000000039,9,2015-04-03 18:06:43,9,4290001.0,3,4145854.0,6,144147.0,2,3022444.0
10000010000000040,9,2015-03-18 18:06:43,6,3240001.0,2,3198670.0,4,41331.0,0,2960688.0
10000010000000041,10,2015-03-18 18:06:43,9,3960001.0,5,1648513.0,4,2311488.0,4,1287896.0
10000010000000042,10,2015-05-28 18:06:43,5,4890001.0,3,963358.0,2,3926643.0,1,1636403.0
10000010000000043,10,2015-03-16 18:06:43,4,3680001.0,1,632763.0,3,3047238.0,0,2669899.0
10000010000000044,10,2015-06-08 18:06:43,6,380001.0,3,98510.0,3,281491.0,0,10777.0
10000010000000045,9,2015-05-08 18:06:43,2,2240001.0,1,2200438.0,1,39563.0,0,2119486.0
10000010000000046,9,2015-03-19 18:06:43,7,730001.0,4,52100.0,3,677901.0,0,445255.0
10000010000000047,10,2015-03-25 18:06:43,7,2110001.0,1,75782.0,6,2034219.0,0,820471.0
10000010000000048,10,2015-05-31 18:06:43,3,2190001.0,1,138442.0,2,2051559.0,0,619081.0
10000010000000049,10,2015-03-13 18:06:43,5,4460001.0,1,3166264.0,4,1293737.0,0,326684.0
10000010000000050,9,2015-03-15 18:06:43,7,4960001.0,3,3073328.0,4,1886673.0,1,140743.0
10000010000000051,9,2015-05-24 18:06:43,6,410001.0,4,209484.0,2,200517.0,2,361044.0
10000010000000052,10,2015-04-16 18:06:43,5,1220001.0,5,1037563.0,0,182438.0,0,831131.0
10000010000000053,10,2015-06-06 18:06:43,10,4290001.0,6,1688141.0,4,2601860.0,5,3347254.0
10000010000000054,10,2015-03-23 18:06:43,4,1280001.0,4,166413.0,0,1113588.0,3,752798.0
10000010000000055,10,2015-03-24 18:06:43,3,1400001.0,1,760892.0,2,639109.0,0,1354161.0
10000010000000056,9,2015-04-05 18:06:43,7,400001.0,2,356838.0,5,43163.0,1,171616.0
10000010000000057,9,2015-04-13 18:06:43,5,1130001.0,2,464412.0,3,665589.0,1,1123091.0
10000010000000058,9,2015-04-07 18:06:43,9,1310001.0,5,225623.0,4,1084378.0,1,77675.0
10000010000000059,9,2015-05-26 18:06:43,3,3940001.0,3,825913.0,0,3114088.0,0,1957300.0
10000010000000060,9,2015-03-28 18:06:43,4,4670001.0,3,4242664.0,1,427337.0,2,3972995.0
10000010000000061,9,2015-05-01 18:06:43,4,1980001.0,1,1639454.0,3,340547.0,0,1096456.0
10000010000000062,10,2015-05-14 18:06:43,5,4980001.0,4,3443046.0,1,1536955.0,3,657089.0
10000010000000063,10,2015-05-11 18:06:43,5,300001.0,4,239627.0,1,60374.0,0,203758.0
10000010000000064,9,2015-05-07 18:06:43,1,2350001.0,1,196841.0,0,2153160.0,0,1403188.0
10000010000000065,10,2015-03-26 18:06:43,8,3920001.0,8,3247438.0,0,672563.0,7,2232219.0
10000010000000066,10,2015-05-11 18:06:43,6,2770001.0,4,1893836.0,2,876165.0,2,230009.0
10000010000000067,9,2015-04-14 18:06:43,4,1150001.0,3,828483.0,1,321518.0,1,297907.0
10000010000000068,10,2015-05-08 18:06:43,3,4680001.0,3,2738069.0,0,1941932.0,0,3017511.0
10000010000000069,9,2015-03-25 18:06:43,10,4220001.0,10,2707780.0,0,1512221.0,0,2953539.0
10000010000000070,10,2015-05-19 18:06:43,5,4370001.0,2,4114104.0,3,255897.0,1,942167.0
10000010000000071,10,2015-03-25 18:06:43,5,2950001.0,4,1538058.0,1,1411943.0,2,2856487.0
10000010000000072,10,2015-05-13 18:06:43,8,4270001.0,3,321367.0,5,3948634.0,1,2226906.0
