projectId,status,updateTime,epCompanyName,epcompanyAddress,registerAssets,employessNum,epIndustry,epManageYears,loadCardStatus,oweTaxAmount,normalDebtBalance,attentionDebtBalance,badDebtBanlance,epForceExecNum,epForceExecAmount,epAdminPunishNum,epAdminPunishAmount,patentNum,rewaredNum,socialInsurePayStatus,socialInsureOweAmount,houseFundPayStatus,houseFundOweAmount,epCourtExecNum,epDiscreditCourtExecNum,isThreeMonthsBankRecord,epThreeMonthsWaterFeeAmount,epThreeMonthsElecFeeAmount,epThreeMonthsGasFeeAmount,threeMonthsProcureAmount,threeMonthsSaleAmount,threeMonthsPreSaleAmount,isThreeMonthsBillSum,isThreeMonthsAvtTab,epIsBizPlaceHouseCert,epIsBizPlaceLeaseContract,jobTypeNum,listedAddress,listedPlate,mainIncome1,grossProfit1,netProfit1,totalAssets1,netAssets1,mainIncome2,grossProfit2,netProfit2,totalAssets2,netAssets2,mainIncome3,grossProfit3,netProfit3,totalAssets3,netAssets3
10000010000000001,9,2015-05-05 18:06:43,null,null,640000.0,32,null,1,2,190000.0,840000.0,680000.0,250000.0,0,2800000.0,10,null,6,9,0,100000.0,1,290000.0,4,2,1,98000.0,86000.0,35000.0,960000.0,380000.0,750000.0,1,0,1,1,5,null,null,2700000,280000,70000,5720000,5220000,2080000,560000,340000,3290000,1740000,510000,420000,240000,7780000,2260000
10000010000000002,10,2015-03-31 18:06:43,null,null,750000.0,35,null,8,1,470000.0,580000.0,520000.0,140000.0,2,3810000.0,3,null,5,5,0,960000.0,2,770000.0,2,1,1,55000.0,61000.0,44000.0,0.0,390000.0,180000.0,1,0,0,0,8,null,null,520000,360000,220000,1400000,870000,1890000,870000,820000,7560000,3390000,890000,30000,0,7960000,170000
10000010000000003,10,2015-04-10 18:06:43,null,null,80000.0,45,null,3,1,550000.0,330000.0,450000.0,40000.0,1,780000.0,4,null,7,4,1,250000.0,2,120000.0,6,1,0,100000.0,17000.0,10000.0,550000.0,120000.0,120000.0,1,0,0,1,15,null,null,3310000,1730000,1670000,1200000,700000,2900000,1400000,510000,7400000,3440000,1380000,1330000,780000,7850000,1770000
10000010000000004,9,2015-03-24 18:06:43,null,null,4290000.0,50,null,1,1,290000.0,490000.0,560000.0,220000.0,3,3700000.0,6,null,19,7,2,610000.0,1,260000.0,8,1,0,37000.0,84000.0,70000.0,850000.0,300000.0,730000.0,1,0,0,1,18,null,null,340000,260000,230000,2510000,110000,3110000,100000,0,8540000,6600000,3940000,2090000,1230000,2530000,2440000
10000010000000005,10,2015-05-04 18:06:43,null,null,3790000.0,33,null,2,0,110000.0,1720000.0,690000.0,10000.0,3,4670000.0,6,null,0,4,2,530000.0,1,310000.0,9,2,1,81000.0,50000.0,57000.0,70000.0,270000.0,680000.0,0,0,0,0,13,null,null,4080000,1840000,90000,5520000,3090000,3650000,2030000,260000,2740000,1690000,4900000,2920000,2750000,6380000,3080000
10000010000000006,9,2015-03-26 18:06:43,null,null,470000.0,26,null,3,2,630000.0,680000.0,970000.0,410000.0,2,4610000.0,1,null,6,7,2,970000.0,1,640000.0,8,5,1,54000.0,3000.0,46000.0,660000.0,510000.0,400000.0,0,0,0,0,7,null,null,900000,520000,500000,5840000,3800000,1470000,270000,170000,7790000,290000,380000,70000,30000,2280000,1990000
10000010000000007,9,2015-05-12 18:06:43,null,null,4440000.0,7,null,8,0,800000.0,950000.0,160000.0,300000.0,3,2260000.0,0,null,2,7,0,710000.0,1,0.0,10,4,0,67000.0,45000.0,21000.0,960000.0,870000.0,920000.0,0,0,1,1,11,null,null,2310000,800000,40000,4660000,810000,3530000,600000,40000,2310000,750000,760000,640000,250000,7530000,1230000
10000010000000008,9,2015-03-20 18:06:43,null,null,1320000.0,14,null,6,0,200000.0,1020000.0,790000.0,470000.0,3,4410000.0,1,null,17,0,1,650000.0,0,780000.0,1,0,1,52000.0,53000.0,30000.0,880000.0,700000.0,770000.0,1,1,0,1,11,null,null,2900000,2060000,1140000,3730000,3410000,3260000,2880000,1720000,6710000,5370000,390000,240000,0,2030000,1690000
10000010000000009,9,2015-06-03 18:06:43,null,null,950000.0,46,null,2,1,140000.0,1870000.0,440000.0,370000.0,4,1600000.0,9,null,15,0,2,700000.0,1,580000.0,10,7,1,89000.0,100000.0,45000.0,0.0,420000.0,560000.0,0,1,0,0,16,null,null,3590000,3410000,990000,3970000,2670000,3320000,2840000,2160000,9410000,5750000,1440000,260000,170000,7870000,4150000
10000010000000010,9,2015-05-08 18:06:43,null,null,80000.0,8,null,0,0,760000.0,940000.0,990000.0,170000.0,1,1530000.0,3,null,6,9,2,270000.0,1,60000.0,3,1,0,7000.0,84000.0,60000.0,1000000.0,820000.0,270000.0,0,0,0,1,11,null,null,290000,60000,20000,7660000,5280000,1820000,680000,560000,9820000,8650000,2560000,2180000,930000,6360000,4200000
