projectId,status,updateTime,houseAddress,houseArea,houseEstimatePrice,houseMarketPrice,houseNature,decorateLevel,isAdult,isHouseLoad,houseMortgageCondition,houseCarteBlanche,houseCertHosting,landCertHosting
10000010000000001,9,2015-05-05 18:06:43,null,487,1650000.0,2420000.0,1,1,0,1,0,0,0,0
10000010000000002,10,2015-03-31 18:06:43,null,139,3780000.0,1720000.0,1,0,0,0,1,1,1,0
10000010000000003,10,2015-04-10 18:06:43,null,288,1730000.0,2260000.0,0,1,1,1,0,1,1,1
10000010000000004,9,2015-03-24 18:06:43,null,250,3860000.0,3110000.0,0,0,0,0,0,1,1,1
10000010000000005,10,2015-05-04 18:06:43,null,232,2030000.0,1430000.0,1,1,1,0,0,0,1,0
10000010000000006,9,2015-03-26 18:06:43,null,346,1790000.0,640000.0,2,1,0,0,1,1,0,0
10000010000000007,9,2015-05-12 18:06:43,null,483,1990000.0,4680000.0,2,1,1,1,1,0,1,1
10000010000000008,9,2015-03-20 18:06:43,null,218,3510000.0,890000.0,0,0,0,0,1,0,0,1
10000010000000009,9,2015-06-03 18:06:43,null,430,2490000.0,4520000.0,0,1,0,0,1,1,0,0
10000010000000010,9,2015-05-08 18:06:43,null,232,3930000.0,1480000.0,0,0,1,1,0,1,1,0
10000010000000011,9,2015-04-18 18:06:43,null,424,2420000.0,3440000.0,1,1,0,0,1,1,1,1
10000010000000012,10,2015-05-22 18:06:43,null,461,2110000.0,670000.0,2,0,1,0,1,0,0,1
10000010000000013,9,2015-03-22 18:06:43,null,465,4020000.0,4400000.0,0,1,0,0,1,0,0,1
10000010000000014,10,2015-06-09 18:06:43,null,313,1250000.0,410000.0,0,1,0,0,0,1,1,0
10000010000000015,9,2015-06-02 18:06:43,null,193,2220000.0,4880000.0,2,0,0,1,1,0,1,1
10000010000000016,9,2015-05-31 18:06:43,null,100,3700000.0,420000.0,0,1,0,1,1,0,1,1
10000010000000017,10,2015-05-30 18:06:43,null,453,4400000.0,960000.0,1,1,0,0,1,0,1,0
10000010000000018,9,2015-03-30 18:06:43,null,39,3290000.0,3000000.0,2,1,1,0,0,0,1,0
10000010000000019,10,2015-06-09 18:06:43,null,47,1000000.0,4770000.0,2,1,1,0,0,0,1,1
10000010000000020,10,2015-06-07 18:06:43,null,52,920000.0,4550000.0,1,0,1,0,0,1,1,0
10000010000000021,9,2015-05-23 18:06:43,null,381,3880000.0,520000.0,2,1,1,1,1,0,1,1
10000010000000022,9,2015-05-03 18:06:43,null,492,1820000.0,3760000.0,2,0,0,0,0,1,0,0
10000010000000023,10,2015-04-11 18:06:43,null,123,2100000.0,2720000.0,2,0,1,0,1,1,1,0
10000010000000024,10,2015-04-18 18:06:43,null,118,4180000.0,4360000.0,0,0,0,1,1,0,0,0
10000010000000025,10,2015-06-04 18:06:43,null,239,1180000.0,3870000.0,2,0,0,0,1,0,0,1
10000010000000026,10,2015-04-18 18:06:43,null,98,3670000.0,900000.0,2,0,1,0,1,0,1,0
10000010000000027,9,2015-03-16 18:06:43,null,280,3340000.0,2820000.0,2,1,1,0,1,0,1,1
10000010000000028,10,2015-04-07 18:06:43,null,101,870000.0,4520000.0,0,0,1,0,1,1,1,1
10000010000000029,9,2015-03-22 18:06:43,null,173,580000.0,1200000.0,1,1,1,1,0,0,1,0
10000010000000030,10,2015-04-04 18:06:43,null,59,2610000.0,2070000.0,1,1,0,1,1,0,1,0
10000010000000031,9,2015-04-22 18:06:43,null,277,280000.0,4630000.0,1,1,1,1,0,0,0,1
10000010000000032,10,2015-05-17 18:06:43,null,409,4380000.0,1190000.0,1,1,1,1,0,0,1,1
10000010000000033,9,2015-04-09 18:06:43,null,493,420000.0,900000.0,1,1,1,1,0,0,0,1
10000010000000034,9,2015-04-06 18:06:43,null,458,4420000.0,4090000.0,0,1,1,0,0,0,0,1
10000010000000035,10,2015-05-01 18:06:43,null,105,1110000.0,2780000.0,0,0,0,1,0,1,1,1
10000010000000036,10,2015-05-07 18:06:43,null,78,2940000.0,2750000.0,2,0,0,1,0,0,0,1
10000010000000037,10,2015-05-29 18:06:43,null,383,2710000.0,3670000.0,1,1,0,1,0,1,0,1
10000010000000038,10,2015-05-26 18:06:43,null,313,4350000.0,2200000.0,1,1,0,1,1,0,1,0
10000010000000039,9,2015-04-03 18:06:43,null,322,440000.0,4010000.0,1,1,1,0,1,1,1,1
10000010000000040,9,2015-03-18 18:06:43,null,329,3530000.0,2670000.0,0,0,0,0,0,1,0,1
10000010000000041,10,2015-03-18 18:06:43,null,214,340000.0,660000.0,1,1,1,0,0,1,0,1
10000010000000042,10,2015-05-28 18:06:43,null,492,3560000.0,4260000.0,1,1,1,0,1,0,0,1
10000010000000043,10,2015-03-16 18:06:43,null,185,1750000.0,1230000.0,2,0,0,1,0,1,0,1
10000010000000044,10,2015-06-08 18:06:43,null,71,2680000.0,4410000.0,1,0,1,0,0,0,0,1
10000010000000045,9,2015-05-08 18:06:43,null,459,3580000.0,1740000.0,0,0,1,0,1,1,0,0
10000010000000046,9,2015-03-19 18:06:43,null,489,3910000.0,2580000.0,0,1,1,0,0,1,0,1
10000010000000047,10,2015-03-25 18:06:43,null,371,2450000.0,4000000.0,0,0,0,0,1,0,1,1
10000010000000048,10,2015-05-31 18:06:43,null,87,1550000.0,1990000.0,2,0,0,1,0,0,0,1
10000010000000049,10,2015-03-13 18:06:43,null,285,2260000.0,4010000.0,0,1,0,1,0,1,1,1
10000010000000050,9,2015-03-15 18:06:43,null,311,3350000.0,3990000.0,1,0,1,0,1,1,1,1
10000010000000051,9,2015-05-24 18:06:43,null,456,390000.0,4960000.0,0,0,1,0,1,0,1,1
10000010000000052,10,2015-04-16 18:06:43,null,412,3170000.0,1600000.0,2,0,0,0,1,0,0,0
10000010000000053,10,2015-06-06 18:06:43,null,182,1720000.0,1880000.0,2,1,0,0,1,1,1,1
10000010000000054,10,2015-03-23 18:06:43,null,426,2670000.0,2890000.0,2,0,0,1,1,0,1,1
10000010000000055,10,2015-03-24 18:06:43,null,368,2700000.0,1800000.0,2,1,0,1,1,0,0,0
10000010000000056,9,2015-04-05 18:06:43,null,180,4490000.0,2870000.0,2,1,0,1,0,0,1,0
10000010000000057,9,2015-04-13 18:06:43,null,212,3150000.0,1930000.0,1,1,0,1,0,1,1,0
10000010000000058,9,2015-04-07 18:06:43,null,394,4140000.0,1570000.0,1,0,0,1,0,1,1,0
10000010000000059,9,2015-05-26 18:06:43,null,419,1350000.0,1390000.0,2,0,1,0,0,0,1,1
10000010000000060,9,2015-03-28 18:06:43,null,37,3840000.0,2270000.0,1,0,0,1,1,0,1,0
10000010000000061,9,2015-05-01 18:06:43,null,142,860000.0,4850000.0,2,0,1,0,1,0,0,0
10000010000000062,10,2015-05-14 18:06:43,null,39,530000.0,3340000.0,0,1,0,1,1,1,0,0
10000010000000063,10,2015-05-11 18:06:43,null,204,630000.0,2330000.0,0,0,0,1,0,0,1,0
10000010000000064,9,2015-05-07 18:06:43,null,489,4500000.0,1380000.0,2,1,1,0,1,0,1,0
10000010000000065,10,2015-03-26 18:06:43,null,95,2200000.0,620000.0,1,1,1,0,1,0,1,0
10000010000000066,10,2015-05-11 18:06:43,null,352,2550000.0,1150000.0,1,0,0,1,1,1,1,0
10000010000000067,9,2015-04-14 18:06:43,null,38,3990000.0,4260000.0,0,1,1,0,0,0,0,0
10000010000000068,10,2015-05-08 18:06:43,null,213,4500000.0,1740000.0,1,1,0,0,0,0,0,1
10000010000000069,9,2015-03-25 18:06:43,null,360,940000.0,370000.0,0,0,1,0,0,0,1,1
10000010000000070,10,2015-05-19 18:06:43,null,201,3790000.0,1120000.0,2,1,1,0,1,0,0,0
10000010000000071,10,2015-03-25 18:06:43,null,218,2530000.0,1410000.0,2,0,0,1,0,0,1,0
10000010000000072,10,2015-05-13 18:06:43,null,44,660000.0,3570000.0,1,0,1,0,1,0,1,1
10000010000000073,9,2015-03-18 18:06:43,null,32,2900000.0,510000.0,1,1,1,0,1,1,0,0
10000010000000074,10,2015-04-26 18:06:43,null,225,4290000.0,810000.0,0,0,1,0,1,1,1,0
10000010000000075,10,2015-05-30 18:06:43,null,275,4240000.0,2850000.0,0,1,1,1,0,1,1,1
10000010000000076,10,2015-04-12 18:06:43,null,491,3730000.0,4960000.0,2,1,1,0,1,0,1,1
10000010000000077,10,2015-06-08 18:06:43,null,335,2010000.0,3280000.0,2,1,1,0,0,0,0,0
10000010000000078,9,2015-03-31 18:06:43,null,87,690000.0,4590000.0,1,0,0,0,0,1,1,1
10000010000000079,9,2015-04-24 18:06:43,null,445,3010000.0,4100000.0,1,0,1,0,1,1,1,1
10000010000000080,9,2015-04-23 18:06:43,null,305,3220000.0,4580000.0,1,1,1,1,0,0,0,0
10000010000000081,9,2015-05-30 18:06:43,null,343,1780000.0,2870000.0,2,0,1,0,1,1,1,0
10000010000000082,9,2015-04-05 18:06:43,null,250,4100000.0,4390000.0,0,1,0,1,1,0,0,0
10000010000000083,9,2015-05-03 18:06:43,null,211,2090000.0,2710000.0,2,0,0,1,1,1,0,0
10000010000000084,9,2015-04-27 18:06:43,null,499,900000.0,3500000.0,1,0,0,1,1,0,0,0
10000010000000085,10,2015-03-23 18:06:43,null,212,1200000.0,4270000.0,0,1,1,0,1,1,1,1
10000010000000086,9,2015-05-09 18:06:43,null,190,3600000.0,1530000.0,2,0,0,1,1,0,1,1
10000010000000087,9,2015-04-23 18:06:43,null,223,1990000.0,1810000.0,0,0,1,1,1,1,0,1
10000010000000088,10,2015-04-12 18:06:43,null,495,3310000.0,4490000.0,2,1,0,1,1,0,1,0
10000010000000089,9,2015-03-24 18:06:43,null,396,3560000.0,940000.0,1,0,0,0,1,1,1,1
10000010000000090,10,2015-05-19 18:06:43,null,292,920000.0,1210000.0,0,0,1,0,1,1,1,0
10000010000000091,10,2015-04-02 18:06:44,null,190,950000.0,2560000.0,0,0,1,0,0,1,0,1
10000010000000092,9,2015-04-16 18:06:44,null,432,800000.0,2610000.0,1,1,1,1,1,0,0,0
10000010000000093,9,2015-03-19 18:06:44,null,297,3150000.0,4270000.0,1,0,1,0,1,1,0,0
10000010000000094,9,2015-04-05 18:06:44,null,287,1110000.0,3160000.0,2,0,0,1,1,0,1,0
10000010000000095,10,2015-04-15 18:06:44,null,343,2380000.0,1640000.0,0,0,0,1,0,0,1,0
10000010000000096,10,2015-05-08 18:06:44,null,288,2350000.0,1460000.0,1,1,1,1,0,0,1,1
10000010000000097,10,2015-03-19 18:06:44,null,188,2540000.0,3420000.0,1,0,0,0,1,0,1,0
10000010000000098,9,2015-05-15 18:06:44,null,416,970000.0,4140000.0,2,1,1,0,0,0,0,1
10000010000000099,9,2015-06-05 18:06:44,null,210,3820000.0,860000.0,2,0,0,1,1,1,1,1
10000010000000100,10,2015-05-01 18:06:44,null,327,3640000.0,3560000.0,2,1,1,1,1,0,0,0
10000010000000101,9,2015-04-04 18:06:44,null,172,3210000.0,2360000.0,1,0,1,0,1,1,1,1
10000010000000102,9,2015-03-18 18:06:44,null,51,2250000.0,2080000.0,0,1,1,0,0,1,0,1
10000010000000103,10,2015-05-03 18:06:44,null,467,1050000.0,4140000.0,1,1,0,0,1,1,0,1
10000010000000104,9,2015-05-20 18:06:44,null,318,1170000.0,1450000.0,1,1,1,0,0,1,1,1
10000010000000105,10,2015-05-28 18:06:44,null,91,4250000.0,3800000.0,1,1,0,1,0,1,1,1
