projectId,status,updateTime,rate,guaranteeRate,prepareRate,referenceLevel
10000010000000001,9,2015-05-05 18:06:43,40.0,78.0,69.0,1
10000010000000002,10,2015-03-31 18:06:43,26.0,90.0,76.0,2
10000010000000003,10,2015-04-10 18:06:43,23.0,22.0,15.0,1
10000010000000004,9,2015-03-24 18:06:43,73.0,14.0,91.0,2
10000010000000005,10,2015-05-04 18:06:43,53.0,30.0,52.0,2
10000010000000006,9,2015-03-26 18:06:43,53.0,3.0,27.0,2
10000010000000007,9,2015-05-12 18:06:43,75.0,7.0,52.0,1
10000010000000008,9,2015-03-20 18:06:43,52.0,97.0,30.0,1
10000010000000009,9,2015-06-03 18:06:43,79.0,72.0,56.0,2
10000010000000010,9,2015-05-08 18:06:43,15.0,20.0,98.0,2
10000010000000011,9,2015-04-18 18:06:43,18.0,94.0,77.0,2
10000010000000012,10,2015-05-22 18:06:43,4.0,5.0,59.0,1
10000010000000013,9,2015-03-22 18:06:43,99.0,17.0,69.0,2
10000010000000014,10,2015-06-09 18:06:43,89.0,92.0,31.0,2
10000010000000015,9,2015-06-02 18:06:43,70.0,71.0,37.0,2
10000010000000016,9,2015-05-31 18:06:43,32.0,16.0,79.0,0
10000010000000017,10,2015-05-30 18:06:43,34.0,67.0,40.0,2
10000010000000018,9,2015-03-30 18:06:43,72.0,74.0,11.0,2
10000010000000019,10,2015-06-09 18:06:43,58.0,17.0,13.0,2
10000010000000020,10,2015-06-07 18:06:43,64.0,91.0,2.0,2
10000010000000021,9,2015-05-23 18:06:43,38.0,29.0,75.0,1
10000010000000022,9,2015-05-03 18:06:43,33.0,3.0,80.0,2
10000010000000023,10,2015-04-11 18:06:43,19.0,93.0,88.0,0
10000010000000024,10,2015-04-18 18:06:43,1.0,14.0,48.0,1
10000010000000025,10,2015-06-04 18:06:43,77.0,14.0,18.0,0
10000010000000026,10,2015-04-18 18:06:43,37.0,15.0,57.0,1
10000010000000027,9,2015-03-16 18:06:43,40.0,61.0,86.0,0
10000010000000028,10,2015-04-07 18:06:43,92.0,36.0,60.0,1
10000010000000029,9,2015-03-22 18:06:43,51.0,76.0,45.0,2
10000010000000030,10,2015-04-04 18:06:43,22.0,36.0,84.0,2
10000010000000031,9,2015-04-22 18:06:43,51.0,33.0,6.0,0
10000010000000032,10,2015-05-17 18:06:43,55.0,87.0,34.0,0
10000010000000033,9,2015-04-09 18:06:43,13.0,56.0,77.0,0
10000010000000034,9,2015-04-06 18:06:43,48.0,54.0,39.0,0
10000010000000035,10,2015-05-01 18:06:43,97.0,39.0,59.0,2
10000010000000036,10,2015-05-07 18:06:43,81.0,63.0,12.0,2
10000010000000037,10,2015-05-29 18:06:43,31.0,28.0,15.0,0
10000010000000038,10,2015-05-26 18:06:43,60.0,82.0,79.0,0
10000010000000039,9,2015-04-03 18:06:43,67.0,66.0,63.0,2
10000010000000040,9,2015-03-18 18:06:43,67.0,25.0,38.0,1
10000010000000041,10,2015-03-18 18:06:43,4.0,66.0,1.0,1
10000010000000042,10,2015-05-28 18:06:43,38.0,1.0,43.0,0
10000010000000043,10,2015-03-16 18:06:43,2.0,98.0,41.0,2
10000010000000044,10,2015-06-08 18:06:43,80.0,83.0,3.0,1
10000010000000045,9,2015-05-08 18:06:43,23.0,38.0,47.0,0
10000010000000046,9,2015-03-19 18:06:43,25.0,22.0,48.0,2
10000010000000047,10,2015-03-25 18:06:43,30.0,55.0,41.0,1
10000010000000048,10,2015-05-31 18:06:43,92.0,21.0,30.0,0
10000010000000049,10,2015-03-13 18:06:43,16.0,99.0,78.0,2
10000010000000050,9,2015-03-15 18:06:43,53.0,64.0,74.0,1
10000010000000051,9,2015-05-24 18:06:43,55.0,49.0,2.0,0
10000010000000052,10,2015-04-16 18:06:43,90.0,50.0,60.0,1
10000010000000053,10,2015-06-06 18:06:43,58.0,5.0,49.0,1
10000010000000054,10,2015-03-23 18:06:43,72.0,15.0,13.0,1
10000010000000055,10,2015-03-24 18:06:43,22.0,33.0,28.0,0
10000010000000056,9,2015-04-05 18:06:43,28.0,53.0,19.0,0
10000010000000057,9,2015-04-13 18:06:43,30.0,40.0,95.0,2
10000010000000058,9,2015-04-07 18:06:43,99.0,62.0,22.0,0
10000010000000059,9,2015-05-26 18:06:43,83.0,79.0,97.0,0
10000010000000060,9,2015-03-28 18:06:43,43.0,82.0,7.0,0
10000010000000061,9,2015-05-01 18:06:43,98.0,60.0,53.0,2
10000010000000062,10,2015-05-14 18:06:43,24.0,100.0,95.0,2
10000010000000063,10,2015-05-11 18:06:43,80.0,13.0,96.0,2
10000010000000064,9,2015-05-07 18:06:43,22.0,72.0,86.0,2
10000010000000065,10,2015-03-26 18:06:43,19.0,82.0,86.0,2
10000010000000066,10,2015-05-11 18:06:43,39.0,83.0,76.0,1
10000010000000067,9,2015-04-14 18:06:43,45.0,85.0,93.0,1
10000010000000068,10,2015-05-08 18:06:43,43.0,81.0,87.0,2
10000010000000069,9,2015-03-25 18:06:43,94.0,72.0,62.0,2
10000010000000070,10,2015-05-19 18:06:43,4.0,6.0,43.0,1
