livePlace,totalLoanAmount,creditScore,carRegisterCertHosting,totalLoanNum,rate,financeAmount,houseNum,carTicketHosting,occupation,isDriversLicense,brandModel,due,isGps,totalReturnNum,loanPurpose,toBeReturnAmoun,marryCodition,carSpareKeyHosting,carNum,returnWay,occupationYear,overdueReturnNum,carBuyDate,overdueReturnAmount,gender,age,carEstimatePrice,personalIncome
未填,2000.00,42,0,1,24.00,2000.00,1,0,-9,0,-9,15,0,1,-9,0.00,1,0,0,3,-9,0,-9,0,0,30,-9,-9
广东省 广州,1040000.00,152,0,13,22.00,80000.00,-9,1,广州**建筑公司,1,现代,90,1,12,0,81333.33,1,1,1,0,119828342000,0,1291132800000,0,0,40,80000.0,-9
江西省 赣州,120000.00,155,0,1,22.00,120000.00,1,1,广州**广告有限公司,0,丰田锐志,30,1,1,0,0.00,1,1,1,0,-9,0,1291132800000,0,0,31,160000.0,70000.0
广东省 广州,40000.00,155,0,1,22.00,40000.00,-9,0,广州**文化策划有限公司,0,-9,30,0,1,0,0.00,1,0,1,0,104279167000,0,-9,0,0,26,-9,-9
广东省 佛山,200000.00,255,0,1,22.00,200000.00,1,0,佛山市**材料科技有限公司,0,-9,30,0,1,0,0.00,1,0,1,0,141149111000,0,-9,0,0,38,-9,100000.0
湖南省 衡阳,120000.00,150,0,1,22.00,120000.00,-9,0,****家居厂,0,-9,120,0,1,-9,0.00,1,0,1,0,188496330000,0,-9,0,0,39,-9,50000.0
江苏省 泰州,57000.00,155,1,1,22.00,57000.00,1,1,**制衣厂,0,福特斯,30,1,1,0,0.00,1,1,1,0,-9,0,1354291200000,0,0,39,70000.0,40000.0
广东省 广州,40000.00,35,1,1,22.00,40000.00,1,1,广州**商贸有限公司,0,荣威,30,1,1,0,0.00,1,1,1,0,17246343000,0,1291132800000,0,0,42,45000.0,-9
广东省 广州,120000.00,160,1,2,22.00,60000.00,1,1,**进出口有限公司,0,东风日产,30,1,2,0,0.00,1,1,1,0,156524930000,0,1322668800000,0,0,44,100000.0,-9
广东省 清远,50000.00,35,1,1,22.00,50000.00,1,1,佛山市**美容美发,0,福克斯,30,1,1,0,0.00,1,1,1,0,201392821000,0,1259596800000,0,0,42,50000.0,-9
广东省 佛山,50000.00,35,1,1,22.00,50000.00,1,1,**鞋店,0,颐达,30,1,1,0,0.00,0,1,1,0,138236953000,0,1259596800000,0,0,28,50000.0,-9
河北 邯郸,40000.00,35,1,1,22.00,40000.00,1,1,河北**承轴厂驻广办事处,0,力帆,30,1,1,0,0.00,0,1,1,0,101431528000,0,1291132800000,0,0,31,40000.0,-9
广东省 佛山,386000.00,170,1,7,22.00,60000.00,1,1,佛山**国有股份公司,0,奔驰精灵,30,1,7,0,0.00,1,1,1,0,196127002000,0,1322668800000,0,1,30,60000.0,-9
广东省 广州,100000.00,35,1,1,22.00,100000.00,1,1,花都**皮具厂,0,凯美瑞,30,1,1,0,0.00,1,1,1,0,214617434000,0,1354291200000,0,0,34,160000.0,-9
广东省 广州,900000.00,150,1,6,20.00,160000.00,1,1,广州**鞋业商行,1,宝马523,30,1,5,0,142333.33,0,1,1,0,114738418000,0,1291132800000,0,0,24,360000.0,100000.0
广东省 广州,980000.00,155,1,7,20.00,140000.00,1,1,广州**汽车用品公司,1,奔驰FA6500,30,1,7,0,0.00,0,1,1,0,204162991000,0,1291132800000,0,0,42,150000.0,50000.0
广东省 广州,1200000.00,150,1,7,20.00,200000.00,1,1,广东**建设工程有限公司,1,奥迪A6,30,1,7,0,0.00,1,1,1,0,117393869000,0,1228060800000,0,0,41,160000.0,500000.0
广东省 佛山,150000.00,35,1,1,20.00,150000.00,1,1,**服装公司,0,宝马520,30,1,1,0,0.00,1,1,1,0,51653724000,0,1354291200000,0,1,42,350000.0,-9
广东省 佛山,510000.00,155,0,4,20.00,150000.00,1,0,佛山市南海区**磨具厂,1,-9,30,0,4,0,0.00,1,0,1,0,54245767000,0,-9,0,0,39,-9,-9
广东省 广州,500000.00,35,1,1,20.00,500000.00,1,1,**集团、**农场,0,奥迪Q7,30,1,1,0,0.00,1,1,1,0,248738369000,0,1291132800000,0,0,35,560000.0,-9
广东省 佛山,250000.00,35,0,1,20.00,250000.00,1,0,**保险公司,0,-9,30,0,1,0,0.00,1,0,1,0,133135239000,0,-9,0,1,50,-9,20000.0
未填,40000.00,35,1,1,20.00,40000.00,1,1,佛山市禅城区**窗帘经营部,0,比亚迪S6,30,1,1,0,0.00,0,1,1,0,414874418000,0,1354291200000,0,0,35,50000.0,-9
广东省 佛山,50000.00,35,1,1,20.00,50000.00,1,1,佛山市顺德区**玻璃加工厂,0,大众朗逸,30,1,1,0,0.00,1,1,1,0,178311245000,0,1259596800000,0,0,39,60000.0,3.0
广东省 佛山,190000.00,162,0,2,20.00,100000.00,1,0,佛山**五金装饰有限公司,1,-9,30,0,2,0,0.00,1,0,1,0,238791262000,0,-9,0,1,44,-9,-9
广东省 佛山,90000.00,35,1,1,20.00,90000.00,1,1,佛山市**金属材料有限公司,0,-9,30,1,1,0,0.00,1,1,1,0,59856889000,0,1354291200000,0,1,28,170000.0,-9
广东省 广州,150000.00,35,0,1,20.00,150000.00,1,0,广州市**化妆有限公司,0,-9,30,0,1,0,0.00,1,0,1,0,428093706000,0,-9,0,0,41,-9,150000.0
广东省 广州,240000.00,160,1,5,20.00,50000.00,1,1,广州**帽业公司,1,-9,30,1,5,0,0.00,1,1,1,0,102350222000,0,1322668800000,0,0,32,70000.0,15000.0
广东省 广州,2250000.00,185,1,9,20.00,250000.00,1,1,广州**物流有限公司,1,-9,30,1,9,0,0.00,1,1,1,0,157473450000,0,1228060800000,0,0,40,250000.0,-9
广东省 广州,200000.00,155,1,1,20.00,200000.00,1,1,广州市**贸易有限公司,0,-9,30,1,1,0,0.00,1,1,1,0,189095886000,0,1228060800000,0,0,48,200000.0,-9
广东省 佛山,270000.00,160,1,6,20.00,80000.00,1,1,佛山**五金配件厂,1,-9,30,1,6,0,0.00,3,1,1,0,115569528000,0,1196438400000,0,0,53,100000.0,-9
广东省 佛山,70000.00,155,1,1,20.00,70000.00,1,1,佛山市南海**五金制品有限公司,0,-9,30,1,1,0,0.00,1,1,1,0,65543953000,0,1259596800000,0,0,39,60000.0,-9
广东省 佛山,320000.00,155,1,1,20.00,320000.00,1,1,**生活馆,0,-9,30,1,1,0,0.00,1,1,1,0,112891179000,0,1354291200000,0,0,32,850000.0,150000.0
广东省 佛山,40000.00,155,1,1,20.00,40000.00,1,1,佛山**石油化工有限公司,0,丰田,30,1,1,0,0.00,1,1,1,0,118161608000,0,1291132800000,0,0,35,120000.0,-9
广东省 佛山,161000.00,160,1,4,20.00,50000.00,1,1,**粉体经营部,1,东风日产,30,1,4,0,0.00,1,1,1,0,115569635000,0,1354291200000,0,0,38,60000.0,-9
广东省 中山市,600000.00,160,1,2,20.00,300000.00,1,1,中山市大涌镇**制衣加工厂,1,保时捷卡宴,30,1,2,0,0.00,3,1,1,0,175963330000,0,1322668800000,0,0,36,680000.0,-9
广东省 广州,120000.00,155,1,1,20.00,120000.00,1,1,**自然调理有限公司,0,迈特威,30,1,1,0,0.00,3,1,1,0,73652440000,0,1196438400000,0,0,48,140000.0,-9
广东省 广州,40000.00,155,1,1,20.00,40000.00,1,1,广州市番禺区市桥**食品店,0,海马,30,1,1,0,0.00,1,1,1,0,18442858000,0,1259596800000,0,0,28,40000.0,-9
广东省 佛山,550000.00,160,1,3,20.00,250000.00,1,1,**投资有限公司,1,奥迪,30,1,3,0,0.00,1,1,1,0,402404497000,0,1259596800000,0,0,0,300000.0,-9
广东省 佛山,90000.00,155,1,1,20.00,90000.00,1,1,重庆**烤脑花,0,-9,30,1,1,0,0.00,1,1,1,0,5223734000,0,1291132800000,0,0,33,90000.0,-9
广东省 广州,90000.00,155,1,1,20.00,90000.00,1,1,广州市**模具公司,0,别克,30,1,1,0,0.00,3,1,1,0,79009615000,0,1259596800000,0,0,40,100000.0,-9
广东省 佛山,80000.00,160,1,2,20.00,50000.00,1,1,中国**保险有限公司佛山分公司禅城支公司,0,丰田,30,1,2,1,0.00,1,1,1,0,21322129000,0,1259596800000,0,1,35,50000.0,-9
广东省 佛山,60000.00,155,1,1,20.00,60000.00,1,1,佛山市南海区大沥**包装材料厂,0,丰田,30,1,1,0,0.00,0,1,1,0,134333349000,0,1228060800000,0,0,25,90000.0,-9
广东省 佛山,970000.00,160,1,12,20.00,120000.00,1,1,佛山**户外用品有限公司,1,蒙迪欧,30,1,11,0,91500.00,1,1,1,0,136925369000,0,1322668800000,0,0,28,120000.0,-9
广东省 广州,1610000.00,185,1,7,20.00,230000.00,1,1,广州**皮具有限公司,1,别克,30,1,7,0,0.00,1,1,1,0,181995353000,0,1259596800000,0,0,36,190000.0,-9
广东省 广州,550000.00,158,1,11,20.00,50000.00,1,1,广州**纸制品公司,1,长城,30,1,10,0,50833.33,0,1,1,0,245153774000,0,1259596800000,0,0,37,50000.0,-9
广东省 广州,370000.00,155,1,1,20.00,370000.00,1,1,广州**贸易有限公司,0,-9,30,1,1,0,0.00,1,1,1,0,45224197000,0,1133366400000,0,0,29,350000.0,-9
广东省 广州,300000.00,155,1,1,20.00,300000.00,1,1,广州市**运输有限公司,0,-9,30,1,1,0,0.00,3,1,1,0,255608217000,0,1291132800000,0,0,57,580000.0,-9
广东省 广州,60000.00,155,1,1,20.00,60000.00,1,1,**蔬菜,0,-9,30,1,1,0,0.00,1,1,1,0,392379437000,0,1291132800000,0,0,34,80000.0,-9
广东省 广州,130000.00,155,1,1,20.00,130000.00,1,1,广州市**包装制品有限公司,0,-9,30,1,1,0,0.00,3,1,1,0,113653053000,0,1322668800000,0,0,55,170000.0,-9
广东省 广州,50000.00,155,1,1,20.00,50000.00,1,1,广州市**食品有限公司,0,-9,30,1,1,0,0.00,1,1,1,0,432138357000,0,1322668800000,0,0,44,50000.0,-9
广东省 广州,250000.00,155,1,1,20.00,250000.00,1,1,广州市**五金制品有限公司,0,-9,30,1,1,0,0.00,1,1,1,0,679328786000,0,1354291200000,0,0,44,320000.0,-9
广东省 广州,150000.00,155,1,1,20.00,150000.00,1,1,广州市**皮具有限公司,0,-9,30,1,1,0,0.00,3,1,1,0,74442406000,0,1354291200000,0,1,32,280000.0,-9
广东省 广州,420000.00,160,1,7,20.00,60000.00,1,1,广州**家用电器商行,1,-9,30,1,7,0,0.00,1,1,1,0,108656824000,0,1354291200000,0,0,41,45000.0,-9
广东省 广州,50000.00,155,1,1,20.00,50000.00,1,1,广州市**自动控制设备有限公司,0,-9,30,1,1,0,0.00,3,1,1,0,145463249000,0,1322668800000,0,0,36,130000.0,-9
广东省 广州,80000.00,155,1,1,20.00,80000.00,1,1,广州**服饰有限公司,0,丰田,30,1,1,0,0.00,1,1,1,0,166458469000,0,1164902400000,0,0,43,65000.0,-9
广东省 广州,90000.00,155,1,1,20.00,90000.00,1,1,广州**广告有限公司,0,-9,30,1,1,0,0.00,1,1,1,0,113927291000,0,1322668800000,0,0,32,140000.0,-9
广东省 广州,230000.00,155,1,1,20.00,230000.00,1,1,**地产,0,-9,30,1,1,0,0.00,1,1,1,0,158509721000,0,1291132800000,0,0,39,470000.0,-9
广东省 广州,220000.00,155,1,1,20.00,220000.00,1,1,**航空股份有限公司,0,-9,30,1,1,0,0.00,1,1,1,3,366388142000,0,1322668800000,0,0,47,200000.0,-9
广东省 广州,98000.00,155,1,3,20.00,40000.00,1,1,佛山市**酒店,1,-9,30,1,3,0,0.00,1,1,1,0,71950718000,0,1354291200000,0,0,27,60000.0,-9
广东省 广州,830000.00,160,1,11,20.00,80000.00,1,1,广州**玻璃工艺厂,1,-9,30,1,10,0,61000.00,1,1,1,0,90440341000,0,1322668800000,0,0,37,130000.0,-9
广东省 广州,200000.00,155,1,1,20.00,200000.00,1,1,佛山市**不锈钢制品有限公司,0,-9,30,1,1,0,0.00,0,1,1,0,224446776000,0,1322668800000,0,0,28,200000.0,-9
广东省 广州,80000.00,160,1,2,20.00,40000.00,1,1,**五金厂,1,-9,30,1,2,0,0.00,1,1,1,0,221769795000,0,1291132800000,0,0,25,50000.0,-9
广东省 广州,40000.00,155,1,1,20.00,40000.00,1,1,**灯饰厂,0,-9,30,1,1,0,0.00,1,1,1,0,98217811000,0,1322668800000,0,0,47,40000.0,-9
广东省 广州,110000.00,160,1,3,20.00,40000.00,1,1,佛山市**汽车销售服务有限公司,1,起亚,30,1,3,0,0.00,0,1,1,0,174509030000,0,1322668800000,0,0,27,50000.0,-9
广东省 广州,280000.00,155,1,1,20.00,280000.00,1,1,广州**铸造厂,0,丰田霸道,30,1,1,0,0.00,1,1,1,0,340486917000,0,1322668800000,0,0,26,400000.0,90000.0
广东省 广州,800000.00,155,1,1,20.00,800000.00,1,1,广州**皮革行,0,宝马,30,1,1,0,0.00,1,1,1,0,56406691000,0,1385827200000,0,0,46,780000.0,40000.0
