totalLoanAmount,totalLoanNum,rate,financeAmount,due,totalReturnNum,toBeReturnAmoun,occupationYear,carBuyDate,age,carEstimatePrice,personalIncome
-0.7450,-1.2578,3.1957,-0.9314,-0.7369,-1.2387,-0.4213,0.0000,0.0000,-0.1242,0.0000,0.0000
0.6179,2.7313,1.5093,-0.3639,1.4350,2.7474,0.6326,-0.4270,0.2269,-0.0068,-0.5555,0.0000
-0.5901,-1.2578,1.5093,-0.0729,-0.3025,-1.2387,-0.4213,0.0000,0.2269,-0.1125,-0.0476,0.2688
-0.6951,-1.2578,1.5093,-0.6549,-0.3025,-1.2387,-0.4213,-0.5367,0.0000,-0.1712,0.0000,0.0000
-0.4850,-1.2578,1.5093,0.5091,-0.3025,-1.2387,-0.4213,-0.2765,0.0000,-0.0303,0.0000,0.7190
-0.5901,-1.2578,1.5093,-0.0729,2.3038,-1.2387,-0.4213,0.0576,0.0000,-0.0185,0.0000,-0.0312
-0.6728,-1.2578,1.5093,-0.5313,-0.3025,-1.2387,-0.4213,0.0000,-0.8732,-0.0185,-0.6190,-0.1813
-0.6951,-1.2578,1.5093,-0.6549,-0.3025,-1.2387,-0.4213,-1.1509,0.2269,0.0167,-0.7778,0.0000
-0.5901,-0.9254,1.5093,-0.5094,-0.3025,-0.8763,-0.4213,-0.1680,-0.3224,0.0402,-0.4285,0.0000
-0.6820,-1.2578,1.5093,-0.5822,-0.3025,-1.2387,-0.4213,0.1487,0.7761,0.0167,-0.7460,0.0000
-0.6820,-1.2578,1.5093,-0.5822,-0.3025,-1.2387,-0.4213,-0.2971,0.7761,-0.1477,-0.7460,0.0000
-0.6951,-1.2578,1.5093,-0.6549,-0.3025,-1.2387,-0.4213,-0.5568,0.2269,-0.1125,-0.8095,0.0000
-0.2408,0.7367,1.5093,-0.5094,-0.3025,0.9355,-0.4213,0.1115,-0.3224,-0.1242,-0.6825,0.0000
-0.6163,-1.2578,1.5093,-0.2184,-0.3025,-1.2387,-0.4213,0.2420,-0.8732,-0.0772,-0.0476,0.0000
0.4341,0.4043,-0.1771,0.2181,-0.3025,0.2108,1.4231,-0.4629,0.2269,-0.1947,1.2223,0.7190
0.5391,0.7367,-0.1771,0.0726,-0.3025,0.9355,-0.4213,0.1682,0.2269,0.0167,-0.1111,-0.0312
0.8280,0.7367,-0.1771,0.5091,-0.3025,0.9355,-0.4213,-0.4442,1.3254,0.0049,-0.0476,4.0000
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,-0.9081,-0.8732,0.0167,1.1588,0.0000
-0.0780,-0.2605,-0.1771,0.1453,-0.3025,-0.1516,-0.4213,-0.8898,0.0000,-0.0185,0.0000,0.0000
-0.0911,-1.2578,-0.1771,2.6917,-0.3025,-1.2387,-0.4213,0.4828,0.2269,-0.0655,2.4921,0.0000
-0.4194,-1.2578,-0.1771,0.8729,-0.3025,-1.2387,-0.4213,-0.3331,0.0000,0.1106,0.0000,-0.4814
-0.6951,-1.2578,-0.1771,-0.6549,-0.3025,-1.2387,-0.4213,1.6553,-0.8732,-0.0655,-0.7460,0.0000
