totalLoanAmount,totalLoanNum,rate,financeAmount,houseNum,due,totalReturnNum,toBeReturnAmoun,occupationYear,carBuyDate,age,carEstimatePrice,personalIncome
-0.7450,-1.2578,3.1957,-0.9314,0.4630,-0.7369,-1.2387,-0.4213,-0.0208,-1.3221,-0.1242,-0.0535,-0.0669
0.6179,2.7313,1.5093,-0.3639,-2.1600,1.4350,2.7474,0.6326,-0.4302,-0.1294,-0.0068,-0.5675,-0.0669
-0.5901,-1.2578,1.5093,-0.0729,0.4630,-0.3025,-1.2387,-0.4213,-0.0208,-0.1294,-0.1125,-0.0459,0.2883
-0.6951,-1.2578,1.5093,-0.6549,-2.1600,-0.3025,-1.2387,-0.4213,-0.5408,-1.3221,-0.1712,-0.0535,-0.0669
-0.4850,-1.2578,1.5093,0.5091,0.4630,-0.3025,-1.2387,-0.4213,-0.2785,-1.3221,-0.0303,-0.0535,0.7600
-0.5901,-1.2578,1.5093,-0.0729,-2.1600,2.3038,-1.2387,-0.4213,0.0585,-1.3221,-0.0185,-0.0535,-0.0261
-0.6728,-1.2578,1.5093,-0.5313,0.4630,-0.3025,-1.2387,-0.4213,-0.0208,0.9374,-0.0185,-0.6327,-0.1834
-0.6951,-1.2578,1.5093,-0.6549,0.4630,-0.3025,-1.2387,-0.4213,-1.1602,-0.1294,0.0167,-0.7957,-0.0669
-0.5901,-0.9254,1.5093,-0.5094,0.4630,-0.3025,-0.8763,-0.4213,-0.1690,0.4033,0.0402,-0.4371,-0.0669
-0.6820,-1.2578,1.5093,-0.5822,0.4630,-0.3025,-1.2387,-0.4213,0.1502,-0.6621,0.0167,-0.7631,-0.0669
-0.6820,-1.2578,1.5093,-0.5822,0.4630,-0.3025,-1.2387,-0.4213,-0.2992,-0.6621,-0.1477,-0.7631,-0.0669
-0.6951,-1.2578,1.5093,-0.6549,0.4630,-0.3025,-1.2387,-0.4213,-0.5611,-0.1294,-0.1125,-0.8283,-0.0669
-0.2408,0.7367,1.5093,-0.5094,0.4630,-0.3025,0.9355,-0.4213,0.1128,0.4033,-0.1242,-0.6979,-0.0669
-0.6163,-1.2578,1.5093,-0.2184,0.4630,-0.3025,-1.2387,-0.4213,0.2444,0.9374,-0.0772,-0.0459,-0.0669
0.4341,0.4043,-0.1771,0.2181,0.4630,-0.3025,0.2108,1.4231,-0.4664,-0.1294,-0.1947,1.2579,0.7600
0.5391,0.7367,-0.1771,0.0726,0.4630,-0.3025,0.9355,-0.4213,0.1700,-0.1294,0.0167,-0.1111,-0.0261
0.8280,0.7367,-0.1771,0.5091,0.4630,-0.3025,0.9355,-0.4213,-0.4475,-1.1948,0.0049,-0.0459,7.0488
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,-0.9153,0.9374,0.0167,1.1927,-0.0669
-0.0780,-0.2605,-0.1771,0.1453,0.4630,-0.3025,-0.1516,-0.4213,-0.8969,-1.3221,-0.0185,-0.0535,-0.0669
-0.0911,-1.2578,-0.1771,2.6917,0.4630,-0.3025,-1.2387,-0.4213,0.4872,-0.1294,-0.0655,2.5618,-0.0669
-0.4194,-1.2578,-0.1771,0.8729,0.4630,-0.3025,-1.2387,-0.4213,-0.3355,-1.3221,0.1106,-0.0535,-0.4978
-0.6951,-1.2578,-0.1771,-0.6549,0.4630,-0.3025,-1.2387,-0.4213,1.6694,0.9374,-0.0655,-0.7631,-0.0669
-0.6820,-1.2578,-0.1771,-0.5822,0.4630,-0.3025,-1.2387,-0.4213,-0.0140,-0.6621,-0.0185,-0.6979,-0.8122
-0.4981,-0.9254,-0.1771,-0.2184,0.4630,-0.3025,-0.8763,-0.4213,0.4164,-1.3221,0.0402,-0.0535,-0.0669
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-0.8569,0.9374,-0.1477,0.0192,-0.0669
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,1.7635,-1.3221,0.0049,-0.0535,1.5461
-0.4325,0.0719,-0.1771,-0.5822,0.4630,-0.3025,0.2108,-0.4213,-0.5546,0.4033,-0.1007,-0.6327,-0.5764
2.2066,1.4016,-0.1771,0.8729,0.4630,-0.3025,1.6603,-0.4213,-0.1623,-1.1948,-0.0068,0.5408,-0.0669
-0.4850,-1.2578,-0.1771,0.5091,0.4630,-0.3025,-1.2387,-0.4213,0.0627,-1.1948,0.0871,0.2148,-0.0669
-0.3931,0.4043,-0.1771,-0.3639,0.4630,-0.3025,0.5732,-0.4213,-0.4605,-1.7289,0.1458,-0.4371,-0.0669
-0.6557,-1.2578,-0.1771,-0.4367,0.4630,-0.3025,-1.2387,-0.4213,-0.8165,-0.6621,-0.0185,-0.6979,-0.0669
-0.3275,-1.2578,-0.1771,1.3821,0.4630,-0.3025,-1.2387,-0.4213,-0.4795,0.9374,-0.1007,4.4524,1.5461
-0.6951,-1.2578,-0.1771,-0.6549,0.4630,-0.3025,-1.2387,-0.4213,-0.4420,-0.1294,-0.0655,-0.3067,-0.0669
-0.5362,-0.2605,-0.1771,-0.5822,0.4630,-0.3025,-0.1516,-0.4213,-0.4605,0.9374,-0.0303,-0.6979,-0.0669
0.0402,-0.9254,-0.1771,1.2366,0.4630,-0.3025,-0.8763,-0.4213,-0.0307,0.4033,-0.0538,3.3441,-0.0669
-0.5901,-1.2578,-0.1771,-0.0729,0.4630,-0.3025,-1.2387,-0.4213,-0.7588,-1.7289,0.0871,-0.1763,-0.0669
-0.6951,-1.2578,-0.1771,-0.6549,0.4630,-0.3025,-1.2387,-0.4213,-1.1517,-0.6621,-0.1477,-0.8283,-0.0669
-0.0255,-0.5930,-0.1771,0.8729,0.4630,-0.3025,-0.5139,-0.4213,1.5807,-0.6621,-0.4764,0.8668,-0.0669
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-1.2457,-0.1294,-0.0890,-0.5023,-0.0669
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-0.7207,-0.6621,-0.0068,-0.4371,-0.0669
-0.6426,-0.9254,-0.1771,-0.5822,0.4630,-0.3025,-0.8763,-0.4213,-1.1312,-0.6621,-0.0655,-0.7631,-0.0669
-0.6688,-1.2578,-0.1771,-0.5094,0.4630,-0.3025,-1.2387,-0.4213,-0.3270,-1.1948,-0.1829,-0.5023,-0.0669
0.5260,2.3989,-0.1771,-0.0729,0.4630,-0.3025,2.3850,0.7644,-0.3085,0.4033,-0.1477,-0.3067,-0.0669
1.3663,0.7367,-0.1771,0.7274,0.4630,-0.3025,0.9355,-0.4213,0.0122,-0.6621,-0.0538,0.1496,-0.0669
-0.0255,2.0664,-0.1771,-0.5822,0.4630,-0.3025,2.0226,0.2374,0.4617,-0.6621,-0.0420,-0.7631,-0.0669
-0.2618,-1.2578,-0.1771,1.7459,0.4630,-0.3025,-1.2387,-0.4213,-0.9611,-2.7943,-0.1360,1.1927,-0.0669
-0.3537,-1.2578,-0.1771,1.2366,0.4630,-0.3025,-1.2387,-0.4213,0.5361,-0.1294,0.1928,2.6922,-0.0669
-0.6688,-1.2578,-0.1771,-0.5094,0.4630,-0.3025,-1.2387,-0.4213,1.5093,-0.1294,-0.0772,-0.5675,-0.0669
-0.5769,-1.2578,-0.1771,-0.0002,0.4630,-0.3025,-1.2387,-0.4213,-0.4741,0.4033,0.1693,0.0192,-0.0669
-0.6820,-1.2578,-0.1771,-0.5822,0.4630,-0.3025,-1.2387,-0.4213,1.7923,0.4033,0.0402,-0.7631,-0.0669
-0.4194,-1.2578,-0.1771,0.8729,0.4630,-0.3025,-1.2387,-0.4213,3.5513,0.9374,0.0402,0.9972,-0.0669
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,-0.7532,0.9374,-0.1007,0.7364,-0.0669
-0.1962,0.7367,-0.1771,-0.5094,0.4630,-0.3025,0.9355,-0.4213,-0.5097,0.9374,0.0049,-0.7957,-0.0669
-0.6820,-1.2578,-0.1771,-0.5822,0.4630,-0.3025,-1.2387,-0.4213,-0.2478,0.4033,-0.0538,-0.2415,-0.0669
-0.6426,-1.2578,-0.1771,-0.3639,0.4630,-0.3025,-1.2387,-0.4213,-0.0984,-2.2616,0.0284,-0.6653,-0.0669
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-0.4722,0.4033,-0.1007,-0.1763,-0.0669
-0.4456,-1.2578,-0.1771,0.7274,0.4630,-0.3025,-1.2387,-0.4213,-0.1549,-0.1294,-0.0185,1.9751,-0.0669
-0.4588,-1.2578,-0.1771,0.6546,0.4630,-0.3025,-1.2387,-0.4213,1.3244,0.4033,0.0754,0.2148,-0.0669
-0.6189,-0.5930,-0.1771,-0.6549,0.4630,-0.3025,-0.5139,-0.4213,-0.7709,0.9374,-0.1594,-0.6979,-0.0669
0.3422,2.0664,-0.1771,-0.3639,0.4630,-0.3025,2.0226,0.3691,-0.6393,0.4033,-0.0420,-0.2415,-0.0669
-0.4850,-1.2578,-0.1771,0.5091,0.4630,-0.3025,-1.2387,-0.4213,0.3143,0.4033,-0.1477,0.2148,-0.0669
-0.6426,-0.9254,-0.1771,-0.6549,0.4630,-0.3025,-0.8763,-0.4213,0.2953,-0.1294,-0.1829,-0.7631,-0.0669
